NN_type,units,epochs,batch_size,max_iterations,Users,round_iteration,start_time,end_time,round_time_s,round_time_m,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
MLP,12,1,32,120,20,0,2023-03-30 17:57:20.398579,2023-03-30 17:58:57.670137,97.27155804634094,1.6211926341056824,awake,0.7021924482338612,0.7021924482338612,1.0,0.8250447227191413,0.0,0.5,"[[0 40587]
 [0 95699]]",0.0,40587.0,0.0,95699.0
MLP,12,1,32,120,20,0,2023-03-30 17:57:20.398579,2023-03-30 17:58:57.670137,97.27155804634094,1.6211926341056824,asleep,0.7021924482338612,0.0,0.0,0.0,0.0,0.5,"[[95699 0]
 [40587 0]]",95699.0,0.0,40587.0,0.0
MLP,12,1,32,120,20,0,2023-03-30 17:57:20.398579,2023-03-30 17:58:57.670137,97.27155804634094,1.6211926341056824,avg,0.7021924482338612,0.3510962241169306,0.5,0.41252236135957066,0.0,0.5,,,,,
MLP,12,1,32,120,20,1,2023-03-30 17:58:58.130017,2023-03-30 18:00:13.137874,75.00785684585571,1.2501309474309286,awake,0.7021924482338612,0.7021924482338612,1.0,0.8250447227191413,0.0,0.5,"[[0 40587]
 [0 95699]]",0.0,40587.0,0.0,95699.0
MLP,12,1,32,120,20,1,2023-03-30 17:58:58.130017,2023-03-30 18:00:13.137874,75.00785684585571,1.2501309474309286,asleep,0.7021924482338612,0.0,0.0,0.0,0.0,0.5,"[[95699 0]
 [40587 0]]",95699.0,0.0,40587.0,0.0
MLP,12,1,32,120,20,1,2023-03-30 17:58:58.130017,2023-03-30 18:00:13.137874,75.00785684585571,1.2501309474309286,avg,0.7021924482338612,0.3510962241169306,0.5,0.41252236135957066,0.0,0.5,,,,,
MLP,12,1,32,120,20,2,2023-03-30 18:00:13.597550,2023-03-30 18:01:27.115970,73.51841998100281,1.22530699968338,awake,0.7018842727793023,0.7021689011586073,0.9993207870510664,0.8247972160053817,-0.00015789563793955352,0.4999437354823174,"[[23 40564]
 [65 95634]]",23.0,40564.0,65.0,95634.0
MLP,12,1,32,120,20,2,2023-03-30 18:00:13.597550,2023-03-30 18:01:27.115970,73.51841998100281,1.22530699968338,asleep,0.7018842727793023,0.26136363636363635,0.0005666839135683839,0.001130915795943454,-0.00015789563793955352,0.49994373548231735,"[[95634 65]
 [40564 23]]",95634.0,65.0,40564.0,23.0
MLP,12,1,32,120,20,2,2023-03-30 18:00:13.597550,2023-03-30 18:01:27.115970,73.51841998100281,1.22530699968338,avg,0.7018842727793023,0.48176626876112183,0.4999437354823174,0.4129640659006626,-0.00015789563793955352,0.4999437354823174,,,,,
MLP,12,1,32,120,20,3,2023-03-30 18:01:27.604324,2023-03-30 18:02:43.766053,76.16172885894775,1.2693621476491292,awake,0.70211173561481,0.7023941582245469,0.9990908995914273,0.8248742569730224,0.0013508192088558246,0.5004817101746527,"[[76 40511]
 [87 95612]]",76.0,40511.0,87.0,95612.0
MLP,12,1,32,120,20,3,2023-03-30 18:01:27.604324,2023-03-30 18:02:43.766053,76.16172885894775,1.2693621476491292,asleep,0.70211173561481,0.4662576687116564,0.0018725207578781384,0.0037300613496932516,0.0013508192088558246,0.5004817101746528,"[[95612 87]
 [40511 76]]",95612.0,87.0,40511.0,76.0
MLP,12,1,32,120,20,3,2023-03-30 18:01:27.604324,2023-03-30 18:02:43.766053,76.16172885894775,1.2693621476491292,avg,0.70211173561481,0.5843259134681016,0.5004817101746527,0.4143021591613578,0.0013508192088558246,0.5004817101746528,,,,,
MLP,12,1,32,120,20,4,2023-03-30 18:02:44.248714,2023-03-30 18:03:57.432770,73.18405604362488,1.219734267393748,awake,0.7026033488399396,0.703328861435037,0.9970323618846592,0.8248148996589746,0.007549980099373466,0.5027047142165306,"[[340 40247]
 [284 95415]]",340.0,40247.0,284.0,95415.0
MLP,12,1,32,120,20,4,2023-03-30 18:02:44.248714,2023-03-30 18:03:57.432770,73.18405604362488,1.219734267393748,asleep,0.7026033488399396,0.5448717948717948,0.008377066548402198,0.016500448909271794,0.007549980099373466,0.5027047142165307,"[[95415 284]
 [40247 340]]",95415.0,284.0,40247.0,340.0
MLP,12,1,32,120,20,4,2023-03-30 18:02:44.248714,2023-03-30 18:03:57.432770,73.18405604362488,1.219734267393748,avg,0.7026033488399396,0.6241003281534159,0.5027047142165306,0.4206576742841232,0.007549980099373466,0.5027047142165306,,,,,
MLP,12,1,32,120,20,5,2023-03-30 18:03:57.905540,2023-03-30 18:05:13.034690,75.12914991378784,1.2521524985631307,awake,0.7093098337320047,0.709567725927476,0.9921002309324026,0.8273791627996149,0.04745493836150594,0.517313081440528,"[[1726 38861]
 [756 94943]]",1726.0,38861.0,756.0,94943.0
MLP,12,1,32,120,20,5,2023-03-30 18:03:57.905540,2023-03-30 18:05:13.034690,75.12914991378784,1.2521524985631307,asleep,0.7093098337320047,0.6954069298952458,0.04252593194865351,0.08015045624463071,0.04745493836150594,0.5173130814405281,"[[94943 756]
 [38861 1726]]",94943.0,756.0,38861.0,1726.0
MLP,12,1,32,120,20,5,2023-03-30 18:03:57.905540,2023-03-30 18:05:13.034690,75.12914991378784,1.2521524985631307,avg,0.7093098337320047,0.7024873279113608,0.5173130814405281,0.4537648095221228,0.04745493836150594,0.517313081440528,,,,,
MLP,12,1,32,120,20,6,2023-03-30 18:05:13.550989,2023-03-30 18:06:31.123066,77.57207703590393,1.2928679505983989,awake,0.7100509223251105,0.710958914396858,0.9892684354068486,0.8273354889452068,0.05578646582202906,0.5204799318483476,"[[2098 38489]
 [1027 94672]]",2098.0,38489.0,1027.0,94672.0
MLP,12,1,32,120,20,6,2023-03-30 18:05:13.550989,2023-03-30 18:06:31.123066,77.57207703590393,1.2928679505983989,asleep,0.7100509223251105,0.67136,0.051691428289846506,0.09599194729136165,0.05578646582202906,0.5204799318483475,"[[94672 1027]
 [38489 2098]]",94672.0,1027.0,38489.0,2098.0
MLP,12,1,32,120,20,6,2023-03-30 18:05:13.550989,2023-03-30 18:06:31.123066,77.57207703590393,1.2928679505983989,avg,0.7100509223251105,0.691159457198429,0.5204799318483475,0.4616637181182842,0.05578646582202906,0.5204799318483475,,,,,
MLP,12,1,32,120,20,7,2023-03-30 18:06:31.615475,2023-03-30 18:07:48.673958,77.0584831237793,1.2843080520629884,awake,0.717982771524588,0.7172283507579321,0.9878368634990962,0.8310586580514714,0.09348516676023833,0.5347689503885211,"[[3316 37271]
 [1164 94535]]",3316.0,37271.0,1164.0,94535.0
MLP,12,1,32,120,20,7,2023-03-30 18:06:31.615475,2023-03-30 18:07:48.673958,77.0584831237793,1.2843080520629884,asleep,0.717982771524588,0.7401785714285715,0.08170103727794614,0.1471586748618723,0.09348516676023833,0.5347689503885211,"[[94535 1164]
 [37271 3316]]",94535.0,1164.0,37271.0,3316.0
MLP,12,1,32,120,20,7,2023-03-30 18:06:31.615475,2023-03-30 18:07:48.673958,77.0584831237793,1.2843080520629884,avg,0.717982771524588,0.7287034610932518,0.5347689503885211,0.48910866645667184,0.09348516676023833,0.5347689503885211,,,,,
MLP,12,1,32,120,20,8,2023-03-30 18:07:49.189528,2023-03-30 18:09:01.616686,72.42715811729431,1.2071193019549051,awake,0.7209984884727705,0.7198600214999656,0.9866247296209991,0.832391497915032,0.10864531162204416,0.5406551100244843,"[[3843 36744]
 [1280 94419]]",3843.0,36744.0,1280.0,94419.0
MLP,12,1,32,120,20,8,2023-03-30 18:07:49.189528,2023-03-30 18:09:01.616686,72.42715811729431,1.2071193019549051,asleep,0.7209984884727705,0.7501463985945734,0.09468549042796955,0.1681470137825421,0.10864531162204416,0.5406551100244843,"[[94419 1280]
 [36744 3843]]",94419.0,1280.0,36744.0,3843.0
MLP,12,1,32,120,20,8,2023-03-30 18:07:49.189528,2023-03-30 18:09:01.616686,72.42715811729431,1.2071193019549051,avg,0.7209984884727705,0.7350032100472695,0.5406551100244843,0.500269255848787,0.10864531162204416,0.5406551100244843,,,,,
MLP,12,1,32,120,20,9,2023-03-30 18:09:02.088388,2023-03-30 18:10:21.002210,78.91382193565369,1.3152303655942281,awake,0.7210131634944161,0.719968269223435,0.9863216961514749,0.8323559756968634,0.10919885900289072,0.5408854889706053,"[[3874 36713]
 [1309 94390]]",3874.0,36713.0,1309.0,94390.0
MLP,12,1,32,120,20,9,2023-03-30 18:09:02.088388,2023-03-30 18:10:21.002210,78.91382193565369,1.3152303655942281,asleep,0.7210131634944161,0.7474435655026047,0.09544928178973563,0.1692811885514529,0.10919885900289072,0.5408854889706053,"[[94390 1309]
 [36713 3874]]",94390.0,1309.0,36713.0,3874.0
MLP,12,1,32,120,20,9,2023-03-30 18:09:02.088388,2023-03-30 18:10:21.002210,78.91382193565369,1.3152303655942281,avg,0.7210131634944161,0.7337059173630198,0.5408854889706053,0.5008185821241582,0.10919885900289072,0.5408854889706053,,,,,
