NN_type,units,epochs,batch_size,window_size,time_step_shift,start_time,end_time,time_s,time_m,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
LSTM,128,2,32,4,1,2023-03-09 14:11:11.483627,2023-03-09 14:13:28.728313,137.2446858882904,2.2874114314715066,awake,0.7094627316887043,0.7099457043436526,0.9903959826332583,0.8270424454743611,0.05456716572540443,0.6631878248824994,"[[2020 38677]
 [918 94667]]",2020.0,38677.0,918.0,94667.0
LSTM,128,2,32,4,1,2023-03-09 14:11:11.483627,2023-03-09 14:13:28.728313,137.2446858882904,2.2874114314715066,asleep,0.7110550182709382,0.6851599727705923,0.049745465328918104,0.0927564279789881,0.054759714519412306,0.6627552149399877,"[[94891 925]
 [38453 2013]]",94891.0,925.0,38453.0,2013.0
LSTM,128,2,32,4,1,2023-03-09 14:11:11.483627,2023-03-09 14:13:28.728313,137.2446858882904,2.2874114314715066,avg,0.7102588749798213,0.6975528385571224,0.5200707239810882,0.4598994367266746,0.05466344012240837,0.6629715199112436,,,,,
LSTM,128,7,32,4,1,2023-03-09 14:13:29.490471,2023-03-09 14:21:02.296247,452.8057761192322,7.546762935320536,awake,0.7140561482807708,0.7114462421010174,0.9964638803159491,0.8301730562225719,0.06471149284631028,0.6950728829221795,"[[2066 38631]
 [338 95247]]",2066.0,38631.0,338.0,95247.0
LSTM,128,7,32,4,1,2023-03-09 14:13:29.490471,2023-03-09 14:21:02.296247,452.8057761192322,7.546762935320536,asleep,0.7156484348630047,0.8564891846921797,0.05088222211239065,0.09605784931187311,0.06491830079108718,0.6946273778013488,"[[95471 345]
 [38407 2059]]",95471.0,345.0,38407.0,2059.0
LSTM,128,7,32,4,1,2023-03-09 14:13:29.490471,2023-03-09 14:21:02.296247,452.8057761192322,7.546762935320536,avg,0.7148522915718878,0.7839677133965985,0.5236730512141698,0.4631154527672225,0.06481489681869873,0.6948501303617641,,,,,
LSTM,128,15,32,4,1,2023-03-09 14:21:03.056903,2023-03-09 14:36:59.481562,956.4246590137482,15.940410983562469,awake,0.7248719566780646,0.7272051691229388,0.9725689177172151,0.8321778167674481,0.14974726862693877,0.713954243730264,"[[5824 34873]
 [2622 92963]]",5824.0,34873.0,2622.0,92963.0
LSTM,128,15,32,4,1,2023-03-09 14:21:03.056903,2023-03-09 14:36:59.481562,956.4246590137482,15.940410983562469,asleep,0.7263615150937027,0.6878995974425763,0.14357732417338012,0.23756951259404643,0.1504520256712728,0.7135293464859445,"[[93180 2636]
 [34656 5810]]",93180.0,2636.0,34656.0,5810.0
LSTM,128,15,32,4,1,2023-03-09 14:21:03.056903,2023-03-09 14:36:59.481562,956.4246590137482,15.940410983562469,avg,0.7256167358858836,0.7075523832827575,0.5580731209452976,0.5348736646807473,0.15009964714910579,0.7137417951081042,,,,,
LSTM,128,30,32,4,1,2023-03-09 14:37:00.242585,2023-03-09 15:08:51.574049,1911.3314640522003,31.855524400870006,awake,0.7245050703687941,0.7302699442972085,0.962839357639797,0.83058151445551,0.1624586216149606,0.6860709251457089,"[[6704 33993]
 [3552 92033]]",6704.0,33993.0,3552.0,92033.0
