NN_type,units,epochs,batch_size,max_iterations,Users,round_iteration,start_time,end_time,round_time_s,round_time_m,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
LSTM,128,3,32,120,20,0,2023-03-07 01:52:30.982444,2023-03-07 01:54:10.806522,99.82407784461975,1.6637346307436625,awake,0.7013765574323828,0.7013765574323828,1.0,0.8244812759038587,0.0,0.5,"[[0 40697]
 [0 95585]]",0.0,40697.0,0.0,95585.0
LSTM,128,3,32,120,20,0,2023-03-07 01:52:30.982444,2023-03-07 01:54:10.806522,99.82407784461975,1.6637346307436625,asleep,0.7030715721812125,0.0,0.0,0.0,0.0,0.5,"[[95816 0]
 [40466 0]]",95816.0,0.0,40466.0,0.0
LSTM,128,3,32,120,20,0,2023-03-07 01:52:30.982444,2023-03-07 01:54:10.806522,99.82407784461975,1.6637346307436625,avg,0.7022240648067977,0.3506882787161914,0.5,0.41224063795192933,0.0,0.5,,,,,
LSTM,128,3,32,120,20,1,2023-03-07 01:54:11.525836,2023-03-07 01:55:39.071086,87.54524993896484,1.4590874989827474,awake,0.7013765574323828,0.7013824681900234,0.9999790762148872,0.8244782479308902,3.958396661163377e-05,0.5000141099432055,"[[2 40695]
 [2 95583]]",2.0,40695.0,2.0,95583.0
LSTM,128,3,32,120,20,1,2023-03-07 01:54:11.525836,2023-03-07 01:55:39.071086,87.54524993896484,1.4590874989827474,asleep,0.7030715721812125,0.5,4.942420797706717e-05,9.883864591055103e-05,4.014499478555145e-05,0.5000142754337038,"[[95814 2]
 [40464 2]]",95814.0,2.0,40464.0,2.0
LSTM,128,3,32,120,20,1,2023-03-07 01:54:11.525836,2023-03-07 01:55:39.071086,87.54524993896484,1.4590874989827474,avg,0.7022240648067977,0.6006912340950117,0.5000142502114322,0.41228854328840037,3.986448069859261e-05,0.5000141926884547,,,,,
LSTM,128,3,32,120,20,2,2023-03-07 01:55:39.792679,2023-03-07 01:57:06.812922,87.02024292945862,1.4503373821576437,awake,0.7013765574323828,0.7014386376981797,0.9997803002563164,0.8244494769761673,0.0004154754108572911,0.5001481544036576,"[[21 40676]
 [21 95564]]",21.0,40676.0,21.0,95564.0
LSTM,128,3,32,120,20,2,2023-03-07 01:55:39.792679,2023-03-07 01:57:06.812922,87.02024292945862,1.4503373821576437,asleep,0.7030715721812125,0.5,0.0005189541837592053,0.0010368322306704848,0.0004213617473793896,0.50014989205389,"[[95795 21]
 [40445 21]]",95795.0,21.0,40445.0,21.0
LSTM,128,3,32,120,20,2,2023-03-07 01:55:39.792679,2023-03-07 01:57:06.812922,87.02024292945862,1.4503373821576437,avg,0.7022240648067977,0.6007193188490898,0.5001496272200378,0.4127431546034189,0.00041841857911834035,0.5001490232287737,,,,,
LSTM,128,3,32,120,20,3,2023-03-07 01:57:07.530727,2023-03-07 01:58:34.437118,86.90639114379883,1.448439852396647,awake,0.7025946199791608,0.7024490696477164,0.9992362818433854,0.8249616721729178,0.007144536372288068,0.5025544752952338,"[[239 40458]
 [73 95512]]",239.0,40458.0,73.0,95512.0
LSTM,128,3,32,120,20,3,2023-03-07 01:57:07.530727,2023-03-07 01:58:34.437118,86.90639114379883,1.448439852396647,asleep,0.7042896347279904,0.7660256410256411,0.005906192853259527,0.011722006964539703,0.007211063587720279,0.5025721579612378,"[[95743 73]
 [40227 239]]",95743.0,73.0,40227.0,239.0
LSTM,128,3,32,120,20,3,2023-03-07 01:57:07.530727,2023-03-07 01:58:34.437118,86.90639114379883,1.448439852396647,avg,0.7034421273535756,0.7342373553366788,0.5025712373483224,0.4183418395687288,0.007177799980004174,0.5025633166282357,,,,,
LSTM,128,3,32,120,20,4,2023-03-07 01:58:35.158508,2023-03-07 02:00:02.797748,87.639240026474,1.4606540004412334,awake,0.7058892590364098,0.7049639209140528,0.9985876445048909,0.8264713267700513,0.023662732996732938,0.5085082606631391,"[[750 39947]
 [135 95450]]",750.0,39947.0,135.0,95450.0
LSTM,128,3,32,120,20,4,2023-03-07 01:58:35.158508,2023-03-07 02:00:02.797748,87.639240026474,1.4606540004412334,asleep,0.7075842737852395,0.847457627118644,0.018534077991400187,0.03627481802132959,0.023868371337524952,0.508562563751482,"[[95681 135]
 [39716 750]]",95681.0,135.0,39716.0,750.0
LSTM,128,3,32,120,20,4,2023-03-07 01:58:35.158508,2023-03-07 02:00:02.797748,87.639240026474,1.4606540004412334,avg,0.7067367664108246,0.7762107740163484,0.5085608612481456,0.43137307239569045,0.023765552167128945,0.5085354122073106,,,,,
LSTM,128,3,32,120,20,5,2023-03-07 02:00:03.516066,2023-03-07 02:01:29.344997,85.82893085479736,1.4304821809132895,awake,0.7091618849151025,0.7077093279675678,0.9971752890097819,0.8278686388785144,0.0412610824314783,0.514940201204402,"[[1331 39366]
 [270 95315]]",1331.0,39366.0,270.0,95315.0
LSTM,128,3,32,120,20,5,2023-03-07 02:00:03.516066,2023-03-07 02:01:29.344997,85.82893085479736,1.4304821809132895,asleep,0.7108275487591905,0.830106183635228,0.03284238620076113,0.0631849192954097,0.041522166776559954,0.5150018059416598,"[[95544 272]
 [39137 1329]]",95544.0,272.0,39137.0,1329.0
LSTM,128,3,32,120,20,5,2023-03-07 02:00:03.516066,2023-03-07 02:01:29.344997,85.82893085479736,1.4304821809132895,avg,0.7099947168371465,0.7689077558013979,0.5150088376052715,0.44552677908696203,0.04139162460401913,0.5149710035730308,,,,,
LSTM,128,3,32,120,20,6,2023-03-07 02:01:30.061803,2023-03-07 02:02:57.681112,87.61930894851685,1.4603218158086142,awake,0.7107835224020781,0.7094176422339871,0.9953444578124183,0.8284028820827618,0.051880861912889986,0.5188900090865665,"[[1727 38970]
 [445 95140]]",1727.0,38970.0,445.0,95140.0
LSTM,128,3,32,120,20,6,2023-03-07 02:01:30.061803,2023-03-07 02:02:57.681112,87.61930894851685,1.4603218158086142,asleep,0.7124345107937953,0.7937384898710865,0.042603667276231896,0.08086683240302077,0.05219443384134326,0.5189640194943403,"[[95368 448]
 [38742 1724]]",95368.0,448.0,38742.0,1724.0
LSTM,128,3,32,120,20,6,2023-03-07 02:01:30.061803,2023-03-07 02:02:57.681112,87.61930894851685,1.4603218158086142,avg,0.7116090165979367,0.7515780660525369,0.5189740625443251,0.45463485724289127,0.05203764787711662,0.5189270142904534,,,,,
LSTM,128,3,32,120,20,7,2023-03-07 02:02:58.399870,2023-03-07 02:04:26.775986,88.37611603736877,1.4729352672894795,awake,0.7115980100086585,0.7104261539957079,0.9939425642098656,0.828603324669888,0.0580097461059903,0.5211991121661167,"[[1972 38725]
 [579 95006]]",1972.0,38725.0,579.0,95006.0
LSTM,128,3,32,120,20,7,2023-03-07 02:02:58.399870,2023-03-07 02:04:26.775986,88.37611603736877,1.4729352672894795,asleep,0.7132489984003757,0.7718541748333987,0.04865813275342263,0.09154520305925565,0.05838434308140872,0.52129199532386,"[[95234 582]
 [38497 1969]]",95234.0,582.0,38497.0,1969.0
LSTM,128,3,32,120,20,7,2023-03-07 02:02:58.399870,2023-03-07 02:04:26.775986,88.37611603736877,1.4729352672894795,avg,0.712423504204517,0.7411401644145532,0.5213003484816441,0.4600742638645718,0.05819704459369951,0.5212455537449883,,,,,
LSTM,128,3,32,120,20,8,2023-03-07 02:04:27.491210,2023-03-07 02:05:55.441543,87.95033311843872,1.465838885307312,awake,0.7119942472226707,0.7111902530459232,0.9923628184338547,0.828572676450035,0.06252545149902222,0.5229278524437009,"[[2177 38520]
 [730 94855]]",2177.0,38520.0,730.0,94855.0
LSTM,128,3,32,120,20,8,2023-03-07 02:04:27.491210,2023-03-07 02:05:55.441543,87.95033311843872,1.465838885307312,asleep,0.7136158847096462,0.7471620227038184,0.05367468986309495,0.10015447398150924,0.06285397769678203,0.5230018686019157,"[[95081 735]
 [38294 2172]]",95081.0,735.0,38294.0,2172.0
LSTM,128,3,32,120,20,8,2023-03-07 02:04:27.491210,2023-03-07 02:05:55.441543,87.95033311843872,1.465838885307312,avg,0.7128050659661584,0.7291761378748708,0.5230187541484748,0.4643635752157721,0.06268971459790212,0.5229648605228083,,,,,
LSTM,128,3,32,120,20,9,2023-03-07 02:05:56.166820,2023-03-07 02:07:24.291014,88.12419390678406,1.4687365651130677,awake,0.7129554893529593,0.7123420577617329,0.9908772296908511,0.8288345839987749,0.06936956355680834,0.5255391136536915,"[[2450 38247]
 [872 94713]]",2450.0,38247.0,872.0,94713.0
LSTM,128,3,32,120,20,9,2023-03-07 02:05:56.166820,2023-03-07 02:07:24.291014,88.12419390678406,1.4687365651130677,asleep,0.714562451387564,0.7357013847080073,0.06039638214797608,0.11162875673700559,0.06971644284652168,0.5256164928189992,"[[94938 878]
 [38022 2444]]",94938.0,878.0,38022.0,2444.0
LSTM,128,3,32,120,20,9,2023-03-07 02:05:56.166820,2023-03-07 02:07:24.291014,88.12419390678406,1.4687365651130677,avg,0.7137589703702616,0.7240217212348701,0.5256368059194136,0.4702316703678902,0.06954300320166501,0.5255778032363454,,,,,
LSTM,128,3,32,120,20,10,2023-03-07 02:07:25.010375,2023-03-07 02:08:50.457231,85.4468560218811,1.4241142670313518,awake,0.7133223756622298,0.7129593343984566,0.9897368834022074,0.8288526658401854,0.07293956686810299,0.5269224014524367,"[[2609 38088]
 [981 94604]]",2609.0,38088.0,981.0,94604.0
LSTM,128,3,32,120,20,10,2023-03-07 02:07:25.010375,2023-03-07 02:08:50.457231,85.4468560218811,1.4241142670313518,asleep,0.7149293376968345,0.7250696378830084,0.06432560668215292,0.11816778645360453,0.07332434731751569,0.5270123065555709,"[[94829 987]
 [37863 2603]]",94829.0,987.0,37863.0,2603.0
LSTM,128,3,32,120,20,10,2023-03-07 02:07:25.010375,2023-03-07 02:08:50.457231,85.4468560218811,1.4241142670313518,avg,0.7141258566795321,0.7190144861407325,0.5270312450421801,0.4735102261468949,0.07313195709280934,0.5269673540040039,,,,,
LSTM,128,3,32,120,20,11,2023-03-07 02:08:51.172904,2023-03-07 02:10:16.723401,85.55049705505371,1.4258416175842286,awake,0.7139093937570625,0.7141581400980808,0.987246952973793,0.8287861022918397,0.079727835593295,0.5295843581243637,"[[2927 37770]
 [1219 94366]]",2927.0,37770.0,1219.0,94366.0
LSTM,128,3,32,120,20,11,2023-03-07 02:08:51.172904,2023-03-07 02:10:16.723401,85.55049705505371,1.4258416175842286,asleep,0.7155016803392965,0.7042932947419199,0.07215934364651806,0.13090648256074597,0.0801395002755052,0.5296819929387303,"[[94590 1226]
 [37546 2920]]",94590.0,1226.0,37546.0,2920.0
LSTM,128,3,32,120,20,11,2023-03-07 02:08:51.172904,2023-03-07 02:10:16.723401,85.55049705505371,1.4258416175842286,avg,0.7147055370481795,0.7092257174200003,0.5297031483101555,0.47984629242629284,0.0799336679344001,0.529633175531547,,,,,
LSTM,128,3,32,120,20,12,2023-03-07 02:10:17.443390,2023-03-07 02:11:38.897894,81.45450401306152,1.3575750668843587,awake,0.7142689423401476,0.7147775443811661,0.9861066066851494,0.828800548682371,0.08321138611527223,0.5309553600052279,"[[3085 37612]
 [1328 94257]]",3085.0,37612.0,1328.0,94257.0
LSTM,128,3,32,120,20,12,2023-03-07 02:10:17.443390,2023-03-07 02:11:38.897894,81.45450401306152,1.3575750668843587,asleep,0.7158612289223816,0.6974847042828008,0.07606385607670638,0.13716883174758795,0.08365951505154623,0.5310654506233077,"[[94481 1335]
 [37388 3078]]",94481.0,1335.0,37388.0,3078.0
LSTM,128,3,32,120,20,12,2023-03-07 02:10:17.443390,2023-03-07 02:11:38.897894,81.45450401306152,1.3575750668843587,avg,0.7150650856312646,0.7061311243319834,0.5310852313809279,0.4829846902149795,0.08343545058340923,0.5310104053142678,,,,,
LSTM,128,3,32,120,20,13,2023-03-07 02:11:39.619877,2023-03-07 02:13:00.368358,80.74848079681396,1.3458080132802328,awake,0.7137993278642815,0.7158410327227228,0.9815975309933567,0.8279154313144147,0.08860101279443888,0.5332097540216311,"[[3452 37245]
 [1759 93826]]",3452.0,37245.0,1759.0,93826.0
