NN_type,units,epochs,batch_size,max_iterations,Users,round_iteration,start_time,end_time,round_time_s,round_time_m,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
MLP,12,3,32,120,20,0,2023-03-07 10:43:28.181576,2023-03-07 10:43:47.877122,19.69554591178894,0.32825909852981566,awake,0.7022364732987981,0.702241171808495,0.9999373034200985,0.8250570124198701,0.00032711329002621525,0.5001164822961975,"[[12 40575]
 [6 95693]]",12.0,40575.0,6.0,95693.0
MLP,12,3,32,120,20,0,2023-03-07 10:43:28.181576,2023-03-07 10:43:47.877122,19.69554591178894,0.32825909852981566,asleep,0.7022364732987981,0.6666666666666666,0.00029566117229654814,0.0005910602142593276,0.00032711329002621525,0.5001164822961975,"[[95693 6]
 [40575 12]]",95693.0,6.0,40575.0,12.0
MLP,12,3,32,120,20,0,2023-03-07 10:43:28.181576,2023-03-07 10:43:47.877122,19.69554591178894,0.32825909852981566,avg,0.7022364732987981,0.6844539192375808,0.5001164822961975,0.4128240363170647,0.00032711329002621525,0.5001164822961975,,,,,
MLP,12,3,32,120,20,1,2023-03-07 10:43:48.596937,2023-03-07 10:43:59.459876,10.86293911933899,0.18104898532231647,awake,0.7025886738182939,0.7025332256406491,0.9997805619703445,0.8252051628149676,0.002284777215333267,0.5008142221485989,"[[75 40512]
 [21 95678]]",75.0,40512.0,21.0,95678.0
MLP,12,3,32,120,20,1,2023-03-07 10:43:48.596937,2023-03-07 10:43:59.459876,10.86293911933899,0.18104898532231647,asleep,0.7025886738182939,0.78125,0.001847882326853426,0.003687043728338618,0.002284777215333267,0.5008142221485989,"[[95678 21]
 [40512 75]]",95678.0,21.0,40512.0,75.0
MLP,12,3,32,120,20,1,2023-03-07 10:43:48.596937,2023-03-07 10:43:59.459876,10.86293911933899,0.18104898532231647,avg,0.7025886738182939,0.7418916128203246,0.5008142221485989,0.4144461032716531,0.002284777215333267,0.5008142221485989,,,,,
MLP,12,3,32,120,20,2,2023-03-07 10:44:00.171966,2023-03-07 10:44:10.730691,10.558724880218506,0.17597874800364177,awake,0.7021924482338612,0.7022250924675629,0.9998850562701804,0.825028129486168,0.000219146970417472,0.5000780395057262,"[[11 40576]
 [11 95688]]",11.0,40576.0,11.0,95688.0
MLP,12,3,32,120,20,2,2023-03-07 10:44:00.171966,2023-03-07 10:44:10.730691,10.558724880218506,0.17597874800364177,asleep,0.7021924482338612,0.5,0.0002710227412718358,0.0005417518284124208,0.000219146970417472,0.5000780395057262,"[[95688 11]
 [40576 11]]",95688.0,11.0,40576.0,11.0
MLP,12,3,32,120,20,2,2023-03-07 10:44:00.171966,2023-03-07 10:44:10.730691,10.558724880218506,0.17597874800364177,avg,0.7021924482338612,0.6011125462337814,0.5000780395057262,0.4127849406572902,0.000219146970417472,0.5000780395057262,,,,,
MLP,12,3,32,120,20,3,2023-03-07 10:44:11.442051,2023-03-07 10:44:22.028804,10.586753129959106,0.17644588549931844,awake,0.7021337481472785,0.7021749658785718,0.9999164045601312,0.8250042030028838,-0.00011739081626305214,0.4999582022800656,"[[0 40587]
 [8 95691]]",0.0,40587.0,8.0,95691.0
